demon	d_label	test	start	end	prediction
Lackluster returns are one reason	one reason	The embryo had progressed only to a clump of eight identical cells	22	0	nan
Most British programming is more of an acquired taste	more of an acquired taste	Not everyone believes that the good times are over for shippers	10	27	more of an acquired taste[SEP]Not everyone believes that the good times are over for shippers
That largely reflects the heavy stockholdings	the heavy stockholdings	Some nights he slept under his desk	0	21	That largely reflects the heavy stockholdings[SEP] the heavy stockholdings[SEP]Some nights he slept under his desk
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	That went over the permissible line for warm and fuzzy feelings	0	26	Now at least one Japanese company is turning the courtroom tables[SEP] the courtroom tables[SEP]That went over the permissible line for warm and fuzzy feelings
Another poked a hole in the heel of his shoe	a hole	Abortion via the pill is far more of an ordeal than conventional surgical abortion	21	15	nan
But the shortages also spawned rampant speculation and spiraling prices	rampant speculation and spiraling prices	It also adds to the mystery of the venture	24	17	nan
Some observers say that different rules governing stock and futures markets are partly responsible for volatility	stock and futures markets	But lawmakers of both parties agree that the streamlining was temporary	30	19	nan
It also will hand Unilab new markets	new markets	The stock market is certainly not too big for the Fed to handle	10	25	new markets[SEP]The stock market is certainly not too big for the Fed to handle
Then he would move his movement to Europe	his movement	No one has alleged that the donations were by themselves illegal	0	18	Then he would move his movement to Europe[SEP] his movement[SEP]No one has alleged that the donations
She was the child of relative privilege	the child of relative privilege	The company can go about its business	11	20	relative privilege[SEP]The company can go about its business
There were no major Eurobond or foreign bond offerings in Europe Friday	no major Eurobond or foreign bond offerings	Soaring rights fees will lead to an even greater clutter of commercials	34	28	nan
The Northeast has been holding its own in the population race	its own	Laurie McGinley contributed to this article	18	0	nan
The figures occasionally include incomplete transactions in restricted stock	incomplete transactions in restricted stock	We go from one to the other	22	11	nan
Some abortion advocates have been asking themselves this very question	this very question	The merger is subject to regulatory clearance and a definitive agreement	0	21	Some abortion advocates have been asking themselves this very question[SEP] this very question[SEP]The merger is subject to regulatory clearance
The companies reached an agreement in principle for the sale in August	an agreement in principle for the sale	His interest in the natural environment dates from his youth	26	19	nan
The dispute was the subject of a Wall Street Journal article in August	the subject of a Wall Street Journal article in August	Many economists expect the weakness to continue	31	0	nan
Alan Reynolds of Polyconomics adds his suspicion that the unrecognized inflationary culprit is the budget surplus	his suspicion that the unrecognized inflationary culprit is the budget surplus	But such skills were alien to Toni Johnson	27	33	inflationary culprit is the budget surplus
No sophisticated professional expects economists to be right all the time	all the time	Each company worries that the other is becoming too powerful and too vertically integrated	25	0	nan
Whittle has met some resistance	some resistance	Compound yields assume reinvestment of dividends and that current yields continue for a year	20	17	nan
The two sides now are accusing each other of lying	each other	Portrait studios have also latched onto the trend	21	21	onto
No sophisticated professional expects economists to be right all the time	all the time	We go from one to the other	22	0	nan
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	The biggest flurry of investor activity came early in the day	10	23	increased demand for its systems productivity software[SEP] much of the growth in earnings
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	The dollar weakened against most other major currencies	26	28	other major currencies
Banks may contribute more senior debt	more senior debt	The latest rebate is good for all Beretta models	8	21	more senior debt[SEP]The latest rebate is good for all Beretta models
Some industry groups consistently weather the storm better than others	the storm	It adds something to the market	7	0	nan
The third principal in the South Gardens adventure did have garden experience	garden experience	People have been very respectful of each other	23	0	nan
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	His credentials are excellent for the task	0	17	But its surprising progress so far holds important lessons for companies in trouble[SEP] important lessons for companies
Some abortion advocates have been asking themselves this very question	this very question	The Senate will probably vote not long afterward	0	19	Some abortion advocates have been asking themselves this very question[SEP] this very question[SEP]The Senate will probably vote
Traders can vary their strategies and execute their orders in any one of them	their strategies	Merchant banks were stronger across the board	23	19	nan
The heavy buying in the last half hour led the specialists to take special steps	special steps	The problem here is not in the concept but in its lack of discrimination	16	32	special steps[SEP]The problem here is not in the concept but in its lack of discrimination
The dispute was the subject of a Wall Street Journal article in August	the subject of a Wall Street Journal article in August	We think that the ratings revision is unfortunate but not unexpected	29	29	ratings
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	That cost rises in times of high market volatility	27	28	high market
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	It expects any impact on its business to be slight	20	34	more undamaged California refineries[SEP]It expects any impact on its business
Size and weight considerations also have limited screen displays	screen displays	The problem is not that the Fed is too unresponsive to the public interest	26	0	nan
Nashua announced the Reiss request after the market closed	the Reiss request	She analyzed families by their sleeping arrangements	22	24	their sleeping arrangements
The heavy buying in the last half hour led the specialists to take special steps	special steps	But they are also talking about new magazines	25	26	new magazines
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	It was all over the place	0	17	But its surprising progress so far holds important lessons for companies in trouble[SEP] important lessons for companies
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns	biotechnology research and vaccine manufacturing concerns	The problem here is not in the concept but in its lack of discrimination	25	21	nan
The Northeast has been holding its own in the population race	its own	Bond prices were little changed in sluggish activity	20	17	nan
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	She analyzed families by their sleeping arrangements	24	26	their sleeping arrangements
They are awaiting an arbitration proceeding	an arbitration proceeding	And his outlook improved after successful cataract surgery in August	14	0	nan
And transfer control of much of it to Capitol Hill	control of much of it	The Old Crowd is deeply concerned by the backlash from all this	13	25	much of it[SEP]The Old Crowd is deeply concerned by the backlash
It also inevitably leaves a residue of shareholder lawsuits	a residue of shareholder lawsuits	Brand loyalty was stronger among older consumers in the Journal survey	19	22	stronger among older consumers
Perhaps the most disturbing finding is that the bowling alley may be an endangered American institution	an endangered American institution	We cruise toward another set of pilings	25	23	nan
Her story is becoming part of local folklore	part of local folklore	The great silver clouds on the horizon build themselves on the pale water	25	0	nan
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	She has also served on several task forces on acquired immune deficiency syndrome	18	29	past[SEP]She has also served on several task forces on acquired
The complicated language in the huge new law has muddied the fight	the fight	The post had been vacant for more than a year	24	0	nan
The figures occasionally include incomplete transactions in restricted stock	incomplete transactions in restricted stock	Wall Street traders on Friday had complained about the trading suspensions	0	25	The figures occasionally include incomplete transactions in restricted stock[SEP] incomplete transactions in restricted stock[SEP]Wall Street traders on Friday had complained about the trading
He previously held posts of senior vice president of compliance and senior vice president and general counsel	posts of senior vice president of compliance and senior vice president and general counsel	The majority of the bikes never even make it into the high country	44	24	nan
Arm troubles forced him back to the minors the next year	the next year	The final maturity is in five years	13	22	next year[SEP]The final maturity is in five years
Last week the British displayed unusual political immaturity	unusual political immaturity	It also found them rising much more in the Northeast than elsewhere	21	0	nan
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	the company	Merchant banks were stronger across the board	22	18	nan
Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	the Tokyo Motor Show	They could still panic and bail out of the market	9	22	more seriously than ever[SEP] the Tokyo Motor Show[SEP]They could still panic
The figures occasionally include incomplete transactions in restricted stock	incomplete transactions in restricted stock	The inquiry soon focused on the judge	22	11	nan
Alan Reynolds of Polyconomics adds his suspicion that the unrecognized inflationary culprit is the budget surplus	his suspicion that the unrecognized inflationary culprit is the budget surplus	But markets can operate with greater or lesser efficiency	40	33	nan
The British economy is hardly the picture of health these days	the picture of health	Two workers died and six remain in the hospital	0	18	The British economy is hardly the picture of health these days[SEP] the picture of health[SEP]Two workers
Some banks actually boosted yields on the shortest term CDs in the latest week	yields on the shortest term CDs	This pattern was particularly evident among more highly educated couples	28	20	nan
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The embryo had progressed only to a clump of eight identical cells	35	18	nan
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns	biotechnology research and vaccine manufacturing concerns	The four lawyers climbed out from under a table	27	21	nan
The Environmental Protection Agency is getting a lot out of the Superfund program	a lot	The youthful audience for Saturday programming is no longer dependent on the networks	26	20	nan
And Seita is considering further diversification	further diversification	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	9	25	further diversification[SEP]The lonely woman walks on in the direction of the Plaza de Alonso
These big stocks greatly influence the Nasdaq Composite Index	the Nasdaq Composite Index	Brand loyalty was stronger among older consumers in the Journal survey	20	23	stronger among older consumers
The exchange was all the more remarkable in that authorities released television footage to Western news agencies	television footage	Those viewers find the show confusing	5	25	more remarkable in that authorities released television footage to Western news agencies[SEP] television footage[SEP]Those viewers find the show
Most other states have enacted similar bans	similar bans	But industry observers still questioned whether Georgia Pacific will ultimately prevail	8	9	similar bans
Their ridicule of him is no substitute for argument	no substitute for argument	Yet the bill is riding high on the furor over drug trafficking	20	27	high on the furor over drug trafficking
Maybe it was their peculiar sense of history	their peculiar sense of history	Even some House Banking Committee members could suffer from the fallout	25	18	nan
The Bakersfield Supermarket went out of business last May	last May	We scuttled along for a few feet before he plunged us into the drink again	27	31	plunged us into the drink
We are the producers of that movie	the producers of that movie	At least half that growth will have come in the past three years alone	24	26	past three years
Last week the British displayed unusual political immaturity	unusual political immaturity	Stock prices slipped lower in moderate trading	20	18	nan
The British government also strongly opposes the charter in its current form	the charter in its current form	At least half that growth will have come in the past three years alone	21	32	least half that growth will have come in the past three years
The pool invested idle cash for many state agencies and local governments	idle cash	But industry observers still questioned whether Georgia Pacific will ultimately prevail	26	14	nan
But the shortages also spawned rampant speculation and spiraling prices	rampant speculation and spiraling prices	That figure has been inching up for several years	25	17	nan
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	34	38	overhead and overly optimistic sales
The third principal in the South Gardens adventure did have garden experience	garden experience	Many economists expect the weakness to continue	0	0	The
Perhaps the most disturbing finding is that the bowling alley may be an endangered American institution	an endangered American institution	This is partly due to the particular demands of the crop	28	25	nan
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns	biotechnology research and vaccine manufacturing concerns	Japanese government bonds ended lower after the dollar rose modestly against the yen	28	21	nan
The success of newcomer SsangYong Motor shows the strength of the auto market and its growing diversity	the strength of the auto market and its growing diversity	The great silver clouds on the horizon build themselves on the pale water	44	27	nan
But they are stalwart socialists	stalwart socialists	Soaring rights fees will lead to an even greater clutter of commercials	20	23	greater clutter of commercials
These big stocks greatly influence the Nasdaq Composite Index	the Nasdaq Composite Index	Craig Torres contributed to this article	13	18	daq Composite Index[SEP]Craig Torres
Size and weight considerations also have limited screen displays	screen displays	Other magazine publishing companies have been moving in the same direction	22	16	nan
This is a story about suckers	a story about suckers	No one has alleged that the donations were by themselves illegal	11	20	suckers[SEP]No one has alleged that the donations
The failed rights issue also should have a modest impact on British Air shares	a modest impact on British Air shares	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	16	26	modest impact on British Air shares[SEP]Democrats had been negotiating
Her story is becoming part of local folklore	part of local folklore	Stock prices finished about unchanged Friday in quiet expiration trading	18	23	unchanged Friday in quiet expiration trading
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	His credentials are excellent for the task	20	16	nan
No sophisticated professional expects economists to be right all the time	all the time	Peter Gumbel in Moscow contributed to this article	0	0	No
Waxman sells a variety of hardware products for the home repair market	a variety of hardware products for the home repair market	Corn futures prices rose slightly while wheat prices settled mixed	29	33	rose slightly while wheat prices
Hostile takeovers are quite a new phenomenon	quite a new phenomenon	Some found it on the screen of a personal computer	12	23	new phenomenon[SEP]Some found it on the screen of a personal
The closely watched funds rate is what banks charge each other on overnight loans	each other	All this is causing convulsions in professional football	16	24	other[SEP]All this is causing convulsions
Funds for drilling may inch up more next year if oil prices stay stable	next year	The market has grown relatively quiet since the China crisis	7	12	more next year if oil prices
Alan Reynolds of Polyconomics adds his suspicion that the unrecognized inflationary culprit is the budget surplus	his suspicion that the unrecognized inflationary culprit is the budget surplus	The case went on appeal to the Second Circuit	27	33	inflationary culprit is the budget surplus
And many have done just that	just that	This of course led to disaster in New York City	0	0	And
Businessmen took their cue from the engineers	their cue	Foreign bonds surged as the dollar weakened against most major currencies	18	0	nan
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	That injunction resulted from litigation between Temple and Sea Containers last May	23	21	nan
And it left mixed signals for London	mixed signals	We think that the ratings revision is unfortunate but not unexpected	0	15	And it left mixed signals for London[SEP] mixed signals[SEP]We think that the ratings
The merger requires the approval of Norwegian authorities	the approval of Norwegian authorities	Treasury prices ended mixed in light trading	16	17	asury prices
The British economy is hardly the picture of health these days	the picture of health	That went over the permissible line for warm and fuzzy feelings	0	27	The British economy is hardly the picture of health these days[SEP] the picture of health[SEP]That went over the permissible line for warm and fuzzy feelings
The infusion of activists can bring a clash of cultures	a clash of cultures	His boss complained about neglect of other chores	22	17	nan
The true budgetary cost of a credit subsidy is the discounted value of the net costs to government	the discounted value of the net costs to government	And his outlook improved after successful cataract surgery in August	32	20	nan
Total return is price changes plus interest income	price changes plus interest income	Many called it simply a contrast in styles	0	13	Total return is price changes plus interest income[SEP] price changes plus interest income
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	Some Wall Street firms monitor for recordkeeping purposes	29	24	nan
He hit the lanes three years ago on the advice of his doctor	the lanes	The New York company called the lawsuit without merit	25	15	nan
The House version of the bill does include the tax cut	the tax cut	His boss complained about neglect of other chores	22	17	nan
Whittle has met some resistance	some resistance	The report suggested that current review programs are too narrow	19	0	nan
The success of newcomer SsangYong Motor shows the strength of the auto market and its growing diversity	the strength of the auto market and its growing diversity	This leads to a very special sense of urgency	37	27	nan
Others had lesser damage and there were no injuries among workers	lesser damage	Stock prices rallied in active trading	12	16	lesser damage[SEP]Stock prices
He said that the research team had no financial stake in the drug	no financial stake in the drug	The dollar posted gains in quiet trading as concerns about equities abated	16	27	stake in the drug[SEP]The dollar posted gains in quiet trading
The two sides now are accusing each other of lying	each other	We cruise toward another set of pilings	17	0	nan
But such a combination also presents great risks	great risks	In the end politics got in the way	0	0	But
Aussedat Rey is a leading French maker of copying and electronic printing paper	a leading French maker of copying and electronic printing paper	This is partly due to the particular demands of the crop	33	21	nan
He previously held posts of senior vice president of compliance and senior vice president and general counsel	posts of senior vice president of compliance and senior vice president and general counsel	Flesh goes to total alert for flight or fight	26	24	nan
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	The Old Crowd is deeply concerned by the backlash from all this	36	43	Old Crowd is deeply concerned by the backlash
The success of newcomer SsangYong Motor shows the strength of the auto market and its growing diversity	the strength of the auto market and its growing diversity	Rival gangs have turned cities into combat zones	31	27	nan
But the firm has never had a day like yesterday	a day like yesterday	This of course led to disaster in New York City	18	21	course led to disaster
The third principal in the South Gardens adventure did have garden experience	garden experience	It belonged to her grandfather	0	17	The third principal in the South Gardens adventure did have garden experience[SEP] garden experience[SEP]It belonged
Traders attributed the action in them largely to defensive positioning in a volatile market	the action in them	The expansion is subject to approval by federal and Wisconsin environmental regulators	28	26	nan
Their ridicule of him is no substitute for argument	no substitute for argument	People have been very respectful of each other	22	0	nan
But they are stalwart socialists	stalwart socialists	The peril of unlimited liability looms large for a number of them now	14	15	unlimited liability
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The machine began shipping at the end of last year	0	19	Now at least one Japanese company is turning the courtroom tables[SEP] the courtroom tables[SEP]The machine began shipping
The heavy buying in the last half hour led the specialists to take special steps	special steps	Most of the loans in question are to Third World countries in South America	16	22	special steps[SEP]Most of the loans
But the firm has never had a day like yesterday	a day like yesterday	Those viewers find the show confusing	0	20	But the firm has never had a day like yesterday[SEP] a day like yesterday[SEP]Those viewers find the show
The British economy is hardly the picture of health these days	the picture of health	Treasury prices ended mixed in light trading	18	19	asury prices
Waxman sells a variety of hardware products for the home repair market	a variety of hardware products for the home repair market	The Old Crowd is deeply concerned by the backlash from all this	27	19	nan
He sees a psychoanalyst five mornings a week	a psychoanalyst	Inflation is at record levels	21	0	nan
That largely reflects the heavy stockholdings	the heavy stockholdings	The mask cuts to the quick	16	0	nan
New telephone lines posted healthy growth	healthy growth	The company expects all branches to reopen today	0	0	New
He should chop out both unconstitutional provisions and budget pork	both unconstitutional provisions and budget pork	The latest rebate is good for all Beretta models	22	20	nan
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	It added that no discussions about such a sale are under way	18	25	added that no discussions about such a sale
New telephone lines posted healthy growth	healthy growth	Kidder officials stand by their aggressive use of program trading	0	20	New telephone lines posted healthy growth[SEP] healthy growth[SEP]Kidder officials stand by their aggressive use of program trading
The failed rights issue also should have a modest impact on British Air shares	a modest impact on British Air shares	And there is more volatility to come	26	21	nan
He visits the same department every two or three weeks	the same department	Two more securities firms bowed to the outcry over program trading	16	25	more securities firms bowed to the outcry over program trading
New telephone lines posted healthy growth	healthy growth	The expansion is subject to approval by federal and Wisconsin environmental regulators	21	15	nan
Prospective competition is one problem	one problem	The battle for customer loyalty is evident along the Cobb Parkway strip	0	13	Prospective competition is one problem[SEP] one problem[SEP]The battle for customer
Most other states have enacted similar bans	similar bans	West German bond prices ended lower after a day of aimless trading	16	23	lower after a day of aimless trading
One bank stock was a winner	a winner	The most popular such shows focus on narrow national concerns	17	0	nan
He should chop out both unconstitutional provisions and budget pork	both unconstitutional provisions and budget pork	Some Wall Street firms monitor for recordkeeping purposes	26	25	nan
It was a Friday in June	a Friday in June	Revenue doubled from two years ago	14	13	nan
But this raises added cost barriers to urban entrepreneurship	added cost barriers to urban entrepreneurship	But industry observers still questioned whether Georgia Pacific will ultimately prevail	27	15	nan
He said that the research team had no financial stake in the drug	no financial stake in the drug	Flesh goes to total alert for flight or fight	16	26	stake in the drug[SEP]Flesh goes to total alert
The third principal in the South Gardens adventure did have garden experience	garden experience	She has also served on several task forces on acquired immune deficiency syndrome	0	25	The third principal in the South Gardens adventure did have garden experience[SEP] garden experience[SEP]She has also served on several task forces on acquired
Integrated made its announcement after the market closed	its announcement	Stock prices edged up in quiet trading Friday	16	14	nan
The figures occasionally include incomplete transactions in restricted stock	incomplete transactions in restricted stock	He sits down at the piano and plays	0	11	The figures occasionally include incomplete transactions in restricted stock[SEP] incomplete transactions
Most British programming is more of an acquired taste	more of an acquired taste	People have been very respectful of each other	10	0	nan
The heavy buying in the last half hour led the specialists to take special steps	special steps	Craig Forman in London contributed to this article	16	2	nan
Van Nghe quickly made influential enemies	influential enemies	Two workers died and six remain in the hospital	0	0	Van
The struggle over capital gains is the most important game in town	the most important game in town	Surveys suggested that consumer confidence was high before Friday	28	25	nan
Judges will write the real bill as suits roll through the courts	the real bill	Moscow and Kabul must have found that information useful	20	25	Kabul must have found that information
Judges will write the real bill as suits roll through the courts	the real bill	Buyers stepped in to the futures pit	20	18	nan
Nashua announced the Reiss request after the market closed	the Reiss request	Some economists found the mixture ominous	0	0	N
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	It also adds to the mystery of the venture	26	29	mystery of the venture
Most British programming is more of an acquired taste	more of an acquired taste	Stock prices slipped lower in moderate trading	19	17	nan
They note that stocks experienced volatile swings long before futures	volatile swings	Now the Alley has moved ahead on both artistic and financial fronts	19	16	nan
Athena eventually acquired exclusive rights to the technology and currently is developing it	exclusive rights to the technology	Jeff Rowe contributed to this article	23	23	Rowe
The House version of the bill does include the tax cut	the tax cut	They came by their strangeness honestly	19	21	their strangeness
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	This of course led to disaster in New York City	20	16	nan
Traders can vary their strategies and execute their orders in any one of them	their strategies	Fund selling also picked up at that point	23	20	nan
Lackluster returns are one reason	one reason	The lack of any new cash probably would still leave the banks dissatisfied	15	16	new cash
Banks may contribute more senior debt	more senior debt	The great silver clouds on the horizon build themselves on the pale water	23	19	nan
The pool invested idle cash for many state agencies and local governments	idle cash	Foreign bonds surged as the dollar weakened against most major currencies	22	14	nan
The Environmental Protection Agency is getting a lot out of the Superfund program	a lot	Even some House Banking Committee members could suffer from the fallout	28	21	nan
The company outpaced much of the chemical industry as annual profit grew fivefold in two years	much of the chemical industry	Stock prices edged up in quiet trading Friday	28	26	nan
But Trelleborg still must clear some tough hurdles	some tough hurdles	Some would make even James Bond green with envy	22	0	nan
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	The stock market reacted strongly to the news	16	23	old ways die hard[SEP]The stock market
Merck is one of the most important stocks in the Major Market Index	one of the most important stocks in the Major Market Index	The suit is still pending in Illinois state court	34	0	nan
Traders are already buckling their seat belts	their seat belts	But transportation officials worry that such extraordinary measures and cooperation may not last	1	23	aders are already buckling their seat belts[SEP] their seat belts[SEP]But transportation officials worry that such extraordinary measures and cooperation
The company cited sales gains at its Milton Bradley and Playskool units and in its international business for the increase in revenue	sales gains at its Milton Bradley and Playskool units and in its international business	Joanne Lipman contributed to this article	21	25	increase in revenue[SEP] sales
Nashua announced the Reiss request after the market closed	the Reiss request	The Old Crowd is deeply concerned by the backlash from all this	0	26	Nashua announced the Reiss request after the market closed[SEP] the Reiss request[SEP]The Old Crowd is deeply concerned by the backlash
He should chop out both unconstitutional provisions and budget pork	both unconstitutional provisions and budget pork	Each company worries that the other is becoming too powerful and too vertically integrated	27	15	nan
Total return is price changes plus interest income	price changes plus interest income	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	0	27	Total return is price changes plus interest income[SEP] price changes plus interest income[SEP]The lonely woman walks on in the direction of the Plaza de Alonso
Other furriers have also placed more weight on retailing	more weight	He can live with little pleasures	12	9	nan
Arm troubles forced him back to the minors the next year	the next year	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	32	29	nan
New telephone lines posted healthy growth	healthy growth	It added that no discussions about such a sale are under way	11	18	added that no discussions about such a sale
The trust will issue the certificates	the certificates	The stock market is certainly not too big for the Fed to handle	0	22	The trust will issue the certificates[SEP] the certificates[SEP]The stock market is certainly not too big for the Fed to handle
Conner already is shipping its new drives	its new drives	Bullish bond market sentiment is on the rise again	21	17	nan
They note that stocks experienced volatile swings long before futures	volatile swings	Speculation about a takeover fight has sent Jaguar shares soaring in the past six weeks	24	22	nan
The suit seeks unspecified damages	unspecified damages	Those viewers find the show confusing	0	0	The
Judges will write the real bill as suits roll through the courts	the real bill	But some Wall Street executives argue that such fears are unwarranted	0	22	Judges will write the real bill as suits roll through the courts[SEP] the real bill[SEP]But some Wall Street executives
Most other states have enacted similar bans	similar bans	Corn futures prices rose slightly while wheat prices settled mixed	14	18	rose slightly while wheat prices
He is our most dangerous enemy	our most dangerous enemy	The market is still very touchy about rumors and news on pending takeovers	16	20	very touchy about rumors
The true budgetary cost of a credit subsidy is the discounted value of the net costs to government	the discounted value of the net costs to government	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	27	20	nan
Arm troubles forced him back to the minors the next year	the next year	Peter Pae in Pittsburgh contributed to this article	13	0	nan
These big stocks greatly influence the Nasdaq Composite Index	the Nasdaq Composite Index	The election was by secret ballot in the General Assembly	21	0	nan
The woman won the bet	the bet	His hands sit farther apart on the keyboard	12	0	nan
The pool invested idle cash for many state agencies and local governments	idle cash	The journalistic consensus was that the earthquake made the World Series seem unimportant	17	14	nan
Most other states have enacted similar bans	similar bans	They came by their strangeness honestly	8	9	similar bans
The merger requires the approval of Norwegian authorities	the approval of Norwegian authorities	That tariff is too stiff for some Financial District wage earners	19	25	stiff for some Financial District wage earners
The closely watched funds rate is what banks charge each other on overnight loans	each other	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	29	27	nan
The resulting stockpiling has depressed the market	the market	It expects any impact on its business to be slight	21	18	nan
Athena eventually acquired exclusive rights to the technology and currently is developing it	exclusive rights to the technology	But lawmakers of both parties agree that the streamlining was temporary	30	31	streamlining
She held her fire with her first production at the Trinity earlier this season	her fire	That tariff is too stiff for some Financial District wage earners	22	28	stiff for some Financial District wage earners
Integrated made its announcement after the market closed	its announcement	It expects any impact on its business to be slight	22	19	nan
Her story is becoming part of local folklore	part of local folklore	The board will be made up of seven directors of each holding company	19	22	up of seven directors
And it left mixed signals for London	mixed signals	It is the New Journalism come to television	0	0	And
State loan guarantees are rarely a source of controversy	a source of controversy	It also found them rising much more in the Northeast than elsewhere	19	0	nan
Traders are already buckling their seat belts	their seat belts	The envelope arrives in the mail	1	19	aders are already buckling their seat belts[SEP] their seat belts[SEP]The envelope arrives in the mail
Others had lesser damage and there were no injuries among workers	lesser damage	Such animosity could prove pivotal in the union vote	12	13	lesser damage
Integrated made its announcement after the market closed	its announcement	His credibility is also on the line in the investment community	0	22	Integrated made its announcement after the market closed[SEP] its announcement[SEP]His credibility is also on the line in the investment
But Trelleborg still must clear some tough hurdles	some tough hurdles	But some saw it as a classic negotiating tactic	0	23	But Trelleborg still must clear some tough hurdles[SEP] some tough hurdles[SEP]But some saw it as a classic negotiating
Funds for drilling may inch up more next year if oil prices stay stable	next year	But the two countries remain separated by a cultural barrier wider than the ocean	29	12	nan
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	That went over the permissible line for warm and fuzzy feelings	24	27	warm and fuzzy feelings
The suit seeks unspecified damages	unspecified damages	Foreign bonds surged as the dollar weakened against most major currencies	15	19	weakened against most major currencies
The true budgetary cost of a credit subsidy is the discounted value of the net costs to government	the discounted value of the net costs to government	Inflation is at record levels	34	20	nan
Nissan will introduce a completely revamped Sentra next fall	a completely revamped Sentra	Inflation is at record levels	23	1	nan
Some abortion advocates have been asking themselves this very question	this very question	The company develops and markets products for the food service industry	0	20	Some abortion advocates have been asking themselves this very question[SEP] this very question[SEP]The company develops and markets products
The dispute was the subject of a Wall Street Journal article in August	the subject of a Wall Street Journal article in August	Jeff Rowe contributed to this article	26	26	Rowe
It has more drug users than Boston has people	more drug users than Boston has people	No one has alleged that the donations were by themselves illegal	10	24	more drug users than Boston has people[SEP]No one has alleged that the donations
These big stocks greatly influence the Nasdaq Composite Index	the Nasdaq Composite Index	German and Dutch investors reportedly loaded up on Kellogg Co	23	20	nan
Judges will write the real bill as suits roll through the courts	the real bill	Corn futures prices rose slightly while wheat prices settled mixed	21	25	rose slightly while wheat prices
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	Demand will come first from programming production companies and then from television stations	10	23	increased demand for its systems productivity software[SEP] much of the growth in earnings
Lackluster returns are one reason	one reason	Neither testified at the previous trials	9	0	nan
He had been vice president in that office	vice president in that office	Yet her intensity stops and starts with the music	0	0	He
An assassin in Colombia killed a federal judge on a Medellin street	a federal judge	That figure has been inching up for several years	25	28	up for several years
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The battle for customer loyalty is evident along the Cobb Parkway strip	0	35	Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules[SEP] a quick investigation into whether Olivetti broke Cocom rules[SEP]The battle for customer
He had been vice president in that office	vice president in that office	The reporters were victims and some of the victims turned into unofficial reporters	0	26	He had been vice president in that office[SEP] vice president in that office[SEP]The reporters were victims and some of the victims turned into unofficial
Nashua announced the Reiss request after the market closed	the Reiss request	The biggest flurry of investor activity came early in the day	28	22	nan
But the firm also tracks smaller technology companies as a subset of the larger group	smaller technology companies	The result is that the unthinkable and illogical are happening	16	25	smaller technology companies[SEP]The result is that the unthinkable
Most of us know a sucker	a sucker	The report suggested that current review programs are too narrow	19	0	nan
Merck is one of the most important stocks in the Major Market Index	one of the most important stocks in the Major Market Index	She went first for personal mementos	0	0	Mer
There were no new issues	no new issues	This occurred partly because of more competition as the number of new businesses surged	15	22	more competition as the number of new businesses
The companies reached an agreement in principle for the sale in August	an agreement in principle for the sale	And there is more volatility to come	24	19	nan
Maybe it was their peculiar sense of history	their peculiar sense of history	Demand will come first from programming production companies and then from television stations	27	22	nan
This is a story about suckers	a story about suckers	The result is that the unthinkable and illogical are happening	22	19	nan
