demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
Some in Big Oil are easing the grip on their wallets	Some in are easing the grip on their wallets	Big Oil	NP-D3-N2	PP-D2-N1	Florida National said yesterday that it remains committed to the merger	Florida National said yesterday that it remains committed to	the merger	9	NP-D7-N1	PP-D6-N1
But the new lens became the eye of a storm	But the new lens became the eye of	a storm	NP-D4-N3	PP-D3-N1	The charges said that one worker suffered permanent brain damage from mercury exposure	The charges said that one worker suffered permanent brain damage from	mercury exposure	11	NP-D6-N4	PP-D5-N4
It has sold billions of dollars of other assets and has more on the block	It has sold billions of dollars and has more on the block	of other assets	PP-D7-N1	NP-D6-N2	Other major players in intimate apparel apparently feel the same way	Other major players apparently feel the same way	in intimate apparel	3	PP-D2-N1	NP-D1-N0
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	Commodity futures prices generally reflected following its plunge Friday	the stability of the stock market	NP-D2-N5	VP-D1-N2	The network must refund money to the advertisers and loses considerable revenue and prestige	The network must refund money to and loses considerable revenue and prestige	the advertisers	6	NP-D5-N2	VP-D3-N1
Abortion via the pill is far more of an ordeal than conventional surgical abortion	Abortion via the pill is far more of an ordeal than	conventional surgical abortion	NP-D4-N6	PP-D3-N4	Prices of Treasury bonds tumbled in moderate to active trading	Prices of tumbled in moderate to active trading	Treasury bonds	2	NP-D3-N2	PP-D2-N1
Even claims against individuals and companies face significant roadblocks	Even claims face significant roadblocks	against individuals and companies	PP-D2-N1	NP-D1-N0	Books and tapes all over my room	Books and tapes	all over my room	3	PP-D1-N1	NP-D0-N0
Both products were immensely popular	Both products were	immensely popular	ADJP-D2-N3	VP-D1-N1	Estimated volume was a very light one million ounces	Estimated volume was a one million ounces	very light	4	ADJP-D3-N1	VP-D1-N1
The pressure for change will rise with costs	The pressure will rise with costs	for change	PP-D2-N1	NP-D1-N0	But most of those stocks fared well	But most fared well	of those stocks	2	PP-D2-N1	NP-D1-N1
The red granite mausoleum draws thousands of visitors daily	The red granite mausoleum draws daily	thousands of visitors	NP-D2-N5	VP-D1-N1	But the new lens became the eye of a storm	But the new lens became	the eye of a storm	5	NP-D2-N4	VP-D1-N2
By the end of the century scientists had embraced the system	By scientists had embraced the system	the end of the century	NP-D2-N1	PP-D1-N0	The board expands to seven members	The board expands to	seven members	4	NP-D3-N1	PP-D2-N3
Nobody has any credible estimate	Nobody has	any credible estimate	NP-D2-N2	VP-D1-N1	Hanson is a London producer of consumer and other goods	Hanson is	a London producer of consumer and other goods	2	NP-D2-N2	VP-D1-N1
Certainly not the lawyers	Certainly not	the lawyers	NP-D1-N2	FRAG-D0-N0	Books and software everywhere	everywhere	Books and software	0	NP-D1-N0	FRAG-D0-N0
The dispute pits two groups of claimants against each other	The dispute pits two groups of claimants	against each other	PP-D2-N4	VP-D1-N1	But even a little appeal has a lot of attraction these days	But even a little appeal has a lot these days	of attraction	8	PP-D3-N1	VP-D1-N2
The two executives could hardly be more different	The two executives could hardly be	more different	ADJP-D3-N2	VP-D2-N5	Now the Alley has moved ahead on both artistic and financial fronts	Now the Alley has moved ahead on fronts	both artistic and financial	7	ADJP-D5-N0	VP-D2-N4
Hanson is a London producer of consumer and other goods	Hanson is a London producer of	consumer and other goods	NP-D4-N4	PP-D3-N1	The report of the bankruptcy filing stunned Hollywood executives and investors	The report of stunned Hollywood executives and investors	the bankruptcy filing	3	NP-D3-N3	PP-D2-N1
But this raises added cost barriers to urban entrepreneurship	But this raises	added cost barriers to urban entrepreneurship	NP-D2-N2	VP-D1-N2	Ideologues on the other side of the border can also slow the process	Ideologues on the other side of the border can also slow	the process	11	NP-D3-N5	VP-D2-N4
This occurred partly because of more competition as the number of new businesses surged	This occurred partly because of more competition as the number surged	of new businesses	PP-D5-N1	NP-D4-N3	The education establishment will fight against common sense every inch of the way	The education establishment will fight against common sense every inch	of the way	10	PP-D4-N3	NP-D3-N2
Her new line of work has some perils	Her new line has some perils	of work	PP-D2-N1	NP-D1-N0	Lead underwriter to the issue is Toronto Dominion Securities Inc	Lead underwriter is Toronto Dominion Securities Inc	to the issue	2	PP-D2-N1	NP-D1-N0
The Panamanian affair is only the tip of a more alarming iceberg	The Panamanian affair is only the tip	of a more alarming iceberg	PP-D3-N1	NP-D2-N4	We are the producers of that movie	We are the producers	of that movie	4	PP-D3-N1	NP-D2-N2
Those portfolios are remarkably diversified	Those portfolios are	remarkably diversified	ADJP-D2-N3	VP-D1-N1	Abortion via the pill is far more of an ordeal than conventional surgical abortion	Abortion via the pill is	far more of an ordeal than conventional surgical abortion	5	ADJP-D2-N3	VP-D1-N1
There was no cost estimate for the second phase	There was no cost estimate for	the second phase	NP-D4-N4	PP-D3-N1	The problem is not that the Fed is too unresponsive to the public interest	The problem is not that the Fed is too unresponsive to	the public interest	11	NP-D7-N3	PP-D6-N1
But then the noise turned into a roar	But then the noise turned	into a roar	PP-D2-N4	VP-D1-N3	The August drop was the fourth decline in five months	The August drop was the fourth decline	in five months	7	PP-D3-N1	VP-D1-N1
Both companies are regional carriers in the Southwest	Both companies are	regional carriers in the Southwest	NP-D2-N3	VP-D1-N1	Our teachers are not an important factor in our educational crisis	Our teachers are not	an important factor in our educational crisis	4	NP-D2-N4	VP-D1-N1
It was a jarring day for investors in Genetics Institute	It was for investors in Genetics Institute	a jarring day	NP-D2-N2	VP-D1-N1	Lackluster returns are one reason	Lackluster returns are	one reason	3	NP-D2-N3	VP-D1-N1
That caused a brief period of panic selling of stocks on the Big Board	That caused a brief period on the Big Board	of panic selling of stocks	PP-D3-N1	NP-D2-N2	Economists in Moscow are now proposing that the state start a system of unemployment benefits	Economists are now proposing that the state start a system of unemployment benefits	in Moscow	1	PP-D2-N1	NP-D1-N0
The East German economy is strong compared with other East bloc nations	The East German economy is strong compared with	other East bloc nations	NP-D4-N1	PP-D3-N2	Repeat customers also can purchase luxury items at reduced prices	Repeat customers also can purchase luxury items at	reduced prices	8	NP-D4-N3	PP-D3-N2
The company earns about half its revenue overseas and plans further expansion	The company earns its revenue overseas and plans further expansion	about half	QP-D4-N0	NP-D3-N1	He does this in at least three of his solo pieces	He does this in of his solo pieces	at least three	4	QP-D5-N0	NP-D4-N0
His boss complained about neglect of other chores	His boss complained about neglect	of other chores	PP-D4-N1	NP-D3-N1	That brought a chain reaction in the industry	That brought a chain reaction	in the industry	5	PP-D3-N1	NP-D2-N2
Certainly not the lawyers	Certainly not	the lawyers	NP-D1-N2	FRAG-D0-N0	In a porous wicker basket	In	a porous wicker basket	1	NP-D2-N1	FRAG-D0-N0
The prisons are too crowded	The prisons are	too crowded	ADJP-D2-N3	VP-D1-N1	Some funds are posting yields far higher than the average	Some funds are posting yields	far higher than the average	5	ADJP-D4-N1	VP-D2-N3
The executive branch bears the first responsibility for timidity	The executive branch bears the first responsibility	for timidity	PP-D3-N1	NP-D2-N4	But the outcome of a legal dispute almost always turns on the facts	But the outcome almost always turns on the facts	of a legal dispute	3	PP-D2-N1	NP-D1-N1
The remainder of the house leans precariously against a sturdy oak tree	The remainder leans precariously against a sturdy oak tree	of the house	PP-D2-N1	NP-D1-N0	These revised figures also may explain some of the recent strength of the dollar	These revised figures also may explain some	of the recent strength of the dollar	7	PP-D4-N1	NP-D3-N1
But many proponents of Filipino see resistance to the language finally crumbling	But many proponents of Filipino see resistance finally crumbling	to the language	PP-D4-N2	NP-D3-N4	The embryo had progressed only to a clump of eight identical cells	The embryo had progressed only to a clump	of eight identical cells	8	PP-D5-N2	NP-D4-N2
Some industry groups consistently weather the storm better than others	Some industry groups consistently weather the storm better	than others	PP-D3-N3	ADVP-D2-N6	He was back in jail over the summer on shoplifting charges	He was back over the summer on shoplifting charges	in jail	3	PP-D3-N1	ADVP-D2-N2
West German bond prices ended lower after a day of aimless trading	West German bond prices ended lower after a day	of aimless trading	PP-D4-N1	NP-D3-N4	Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Its previous proposal had conditioned rate limits	on Seabrook operations and other contingencies	7	PP-D4-N1	NP-D3-N1
It was down a little	It was	down a little	ADVP-D2-N2	VP-D1-N1	The house just settled right down into the ground	The house just settled into the ground	right down	4	ADVP-D2-N4	VP-D1-N2
The rise matches that of the Dow Jones industrials this year	The rise matches	that of the Dow Jones industrials this year	NP-D2-N3	VP-D1-N1	It has sold billions of dollars of other assets and has more on the block	It has sold and has more on the block	billions of dollars of other assets	3	NP-D4-N1	VP-D3-N1
Many fund managers have boosted their cash levels in recent weeks	Many fund managers have boosted their cash levels	in recent weeks	PP-D3-N2	VP-D2-N4	Competition and mounting insurance and equipment costs have been the undoing of many resorts	Competition and mounting insurance and equipment costs have been the undoing	of many resorts	11	PP-D4-N1	VP-D2-N4
Traders attributed the action in them largely to defensive positioning in a volatile market	Traders attributed the action largely to defensive positioning in a volatile market	in them	PP-D3-N1	NP-D2-N2	The result is a new and huge appetite for programming	The result is a new and huge appetite	for programming	8	PP-D3-N1	NP-D2-N3
First Interstate made the move under pressure from regulators	First Interstate made the move	under pressure from regulators	PP-D2-N4	VP-D1-N1	Michael Applebaum resigned after less than a year in the posts	Michael Applebaum resigned	after less than a year in the posts	3	PP-D2-N3	VP-D1-N1
Trading volume was only modestly higher than normal	Trading volume was	only modestly higher than normal	ADJP-D2-N3	VP-D1-N1	The dollar was virtually unchanged	The dollar was	virtually unchanged	3	ADJP-D2-N3	VP-D1-N1
This kind of contingency analysis is common in war planning and business planning	This kind of is common in war planning and business planning	contingency analysis	NP-D3-N3	PP-D2-N1	That brought a chain reaction in the industry	That brought a chain reaction in	the industry	6	NP-D4-N4	PP-D3-N1
The dispute pits two groups of claimants against each other	The dispute pits two groups of claimants	against each other	PP-D2-N4	VP-D1-N1	The embryo had progressed only to a clump of eight identical cells	The embryo had progressed	only to a clump of eight identical cells	4	PP-D3-N1	VP-D2-N3
He takes over a school system in the midst of radical reform	He takes over	a school system in the midst of radical reform	NP-D2-N3	VP-D1-N1	Glenn Hall contributed to this article	Glenn Hall contributed to	this article	4	NP-D3-N1	VP-D1-N1
Guarantee by General Motors Acceptance Corp	Guarantee	by General Motors Acceptance Corp	PP-D1-N1	NP-D0-N0	This is partly due to the particular demands of the crop	This is partly due to the particular demands	of the crop	8	PP-D5-N1	NP-D4-N1
Other forms of red tape are more pervasive	Other forms of red tape are	more pervasive	ADJP-D2-N3	VP-D1-N1	The mining zone has thus remained one of the most desolate places in Africa	The mining zone has thus remained one of the places in Africa	most desolate	9	ADJP-D7-N1	VP-D2-N5
London shares closed moderately lower in thin trading	London shares closed in thin trading	moderately lower	ADVP-D2-N3	VP-D1-N1	Bonds received a bigger boost later in the day when stock prices moved broadly lower	Bonds received a bigger boost when stock prices moved broadly lower	later in the day	5	ADVP-D2-N3	VP-D1-N1
So two cheers for the new rules	So two cheers for	the new rules	NP-D3-N3	PP-D2-N1	Output of business equipment was unchanged in September	Output of was unchanged in September	business equipment	2	NP-D3-N2	PP-D2-N1
The executive branch bears the first responsibility for timidity	The executive branch bears the first responsibility	for timidity	PP-D3-N1	NP-D2-N4	Guarantee by Credit Suisse	Guarantee	by Credit Suisse	1	PP-D1-N1	NP-D0-N0
That brought a chain reaction in the industry	That brought a chain reaction	in the industry	PP-D3-N1	NP-D2-N2	The dollar posted gains in quiet trading as concerns about equities abated	The dollar posted gains in quiet trading as concerns abated	about equities	9	PP-D5-N1	NP-D4-N2
Two more securities firms bowed to the outcry over program trading	Two more securities firms bowed to the outcry	over program trading	PP-D4-N1	NP-D3-N1	She was the child of relative privilege	She was the child	of relative privilege	4	PP-D3-N1	NP-D2-N2
The put establishes a minimum selling price for the stock during its life	The put establishes a minimum selling price for during its life	the stock	NP-D4-N5	PP-D3-N1	Such animosity could prove pivotal in the union vote	Such animosity could prove pivotal in	the union vote	6	NP-D4-N2	PP-D3-N2
The stock market is certainly not too big for the Fed to handle	The stock market is certainly not	too big for the Fed to handle	ADJP-D2-N6	VP-D1-N1	The report suggested that current review programs are too narrow	The report suggested that current review programs are	too narrow	8	ADJP-D5-N4	VP-D4-N1
The problem is not that the Fed is too unresponsive to the public interest	The problem is not that the Fed is too unresponsive	to the public interest	PP-D6-N1	ADJP-D5-N3	But both the traders and the pilots remain interested in some transaction	But both the traders and the pilots remain interested	in some transaction	9	PP-D3-N5	ADJP-D2-N5
The figures are at seasonally adjusted annual rates in trillions of dollars	The figures are at seasonally adjusted annual rates in trillions	of dollars	PP-D5-N4	NP-D4-N3	But this raises added cost barriers to urban entrepreneurship	But this raises added cost barriers	to urban entrepreneurship	6	PP-D3-N1	NP-D2-N2
Rolled copper product sales were major contributors to overall sales growth	Rolled copper product sales were	major contributors to overall sales growth	NP-D2-N5	VP-D1-N1	Estimated volume was a very light one million ounces	Estimated volume was	a very light one million ounces	3	NP-D2-N3	VP-D1-N1
There are still bulls out there	There are still bulls	out there	ADVP-D2-N4	VP-D1-N1	Revenue doubled from two years ago	Revenue doubled from	two years ago	3	ADVP-D3-N1	VP-D1-N1
The August drop was the fourth decline in five months	The August drop was the fourth decline	in five months	PP-D3-N1	NP-D2-N4	Traders can vary their strategies and execute their orders in any one of them	Traders can vary their strategies and execute their orders in any one	of them	12	PP-D6-N1	NP-D5-N5
Guarantee by Credit Lyonnais	Guarantee	by Credit Lyonnais	PP-D1-N1	NP-D0-N0	The failed rights issue also should have a modest impact on British Air shares	The failed rights issue also should have a modest impact	on British Air shares	10	PP-D4-N1	NP-D3-N1
Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell more than	the overall measures	NP-D4-N4	PP-D3-N4	Names are resigning at an even faster pace this year	Names are resigning at this year	an even faster pace	4	NP-D4-N1	PP-D3-N1
The quake postponed the third and fourth games of the World Series	The quake postponed	the third and fourth games of the World Series	NP-D2-N3	VP-D1-N1	But weak car sales raise questions about future demand from the auto sector	But weak car sales raise	questions about future demand from the auto sector	5	NP-D2-N4	VP-D1-N2
Friday brings the final count on October auto sales	Friday brings the final count	on October auto sales	PP-D3-N1	NP-D2-N2	And the number of stocks hitting new lows far outstrips the number setting new highs	And the number far outstrips the number setting new highs	of stocks hitting new lows	3	PP-D2-N1	NP-D1-N1
But most of those stocks fared well	But most of fared well	those stocks	NP-D3-N2	PP-D2-N1	The third principal in the South Gardens adventure did have garden experience	The third principal in did have garden experience	the South Gardens adventure	4	NP-D3-N4	PP-D2-N1
He temporarily abandoned his search for the Reuters shares	He temporarily abandoned	his search for the Reuters shares	NP-D2-N3	VP-D1-N2	Miss Brady is deputy director of the Russian Research Foundation in London	Miss Brady is	deputy director of the Russian Research Foundation in London	3	NP-D2-N3	VP-D1-N1
This starts in the construction phase through the use of minority contractors and local workers	This starts in the construction phase through the use of	minority contractors and local workers	NP-D5-N3	PP-D4-N4	The board expands to seven members	The board expands to	seven members	4	NP-D3-N1	PP-D2-N3
Guarantee by General Motors Acceptance Corp	Guarantee	by General Motors Acceptance Corp	PP-D1-N1	NP-D0-N0	Prices on the Frankfurt Stock Exchange tumbled in heavy trading	Prices tumbled in heavy trading	on the Frankfurt Stock Exchange	1	PP-D2-N1	NP-D1-N0
He cut her hair	He cut	her hair	NP-D2-N2	VP-D1-N1	New York stocks recovered some of their losses after the London market closed	New York stocks recovered after the London market closed	some of their losses	4	NP-D2-N4	VP-D1-N1
Borrowed shares on the Amex rose to another record	Borrowed shares rose to another record	on the Amex	PP-D2-N1	NP-D1-N0	Rolled copper product sales were major contributors to overall sales growth	Rolled copper product sales were major contributors	to overall sales growth	7	PP-D3-N1	NP-D2-N5
The youthful audience for Saturday programming is no longer dependent on the networks	The youthful audience is no longer dependent on the networks	for Saturday programming	PP-D2-N1	NP-D1-N0	The husky blond guide with the Aggie cap twists his face in mock fury	The husky blond guide twists his face in mock fury	with the Aggie cap	4	PP-D2-N1	NP-D1-N0
Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	Wang got into financial trouble because of bloated overhead and sales forecasts	overly optimistic	ADJP-D5-N2	NP-D4-N4	Kitchen full of broken crystal	Kitchen	full of broken crystal	1	ADJP-D1-N1	NP-D0-N0
The issue here may be the soundness of the guarantee	The issue here may be	the soundness of the guarantee	NP-D3-N4	VP-D2-N3	She has also served on several task forces on acquired immune deficiency syndrome	She has also served on	several task forces on acquired immune deficiency syndrome	5	NP-D4-N1	VP-D2-N3
That tariff is too stiff for some Financial District wage earners	That tariff is too stiff for	some Financial District wage earners	NP-D3-N3	PP-D2-N4	The problem here is not in the concept but in its lack of discrimination	The problem here is not in but in its lack of discrimination	the concept	6	NP-D4-N1	PP-D3-N0
The Panamanian affair is only the tip of a more alarming iceberg	The Panamanian affair is only the tip of	a more alarming iceberg	NP-D4-N4	PP-D3-N1	And they are a very odd team in any case	And they are a very odd team in	any case	8	NP-D3-N4	PP-D2-N3
The average recession lasts about a year	The average recession lasts year	about a	QP-D3-N0	NP-D2-N4	Now at least one Japanese company is turning the courtroom tables	Now Japanese company is turning the courtroom tables	at least one	1	QP-D2-N1	NP-D1-N1
More carefully targeted intervention might actually reduce the need for government action	intervention might actually reduce the need for government action	More carefully targeted	ADJP-D2-N0	NP-D1-N0	Prices of Treasury bonds tumbled in moderate to active trading	Prices of Treasury bonds tumbled in trading	moderate to active	6	ADJP-D4-N2	NP-D3-N4
The quake postponed the third and fourth games of the World Series	The quake postponed the games of the World Series	third and fourth	ADJP-D4-N1	NP-D3-N0	Kitchen full of broken crystal	Kitchen	full of broken crystal	1	ADJP-D1-N1	NP-D0-N0
And catastrophes are getting ever more costly	And catastrophes are getting	ever more costly	ADJP-D3-N1	VP-D2-N2	The metaphor of theater is not entirely coincidental	The metaphor of theater is not	entirely coincidental	6	ADJP-D2-N4	VP-D1-N1
Shareholders must approve the merger at general meetings of the two companies in late November	Shareholders must approve the merger at general meetings of the two companies	in late November	PP-D5-N2	NP-D4-N3	Fannie Mae makes a secondary market in home loans	Fannie Mae makes a secondary market	in home loans	6	PP-D3-N1	NP-D2-N3
Our teachers are not an important factor in our educational crisis	Our teachers are not an important factor	in our educational crisis	PP-D3-N1	NP-D2-N4	Baskets of roses and potted palms adorned his bench	Baskets and potted palms adorned his bench	of roses	1	PP-D3-N1	NP-D2-N0
President Reagan vetoed this as a First Amendment violation	President Reagan vetoed this as	a First Amendment violation	NP-D3-N2	PP-D2-N4	Two more securities firms bowed to the outcry over program trading	Two more securities firms bowed to	the outcry over program trading	6	NP-D3-N1	PP-D2-N5
Only now is it undergoing a badly needed facelift	Only now is it undergoing	a badly needed facelift	NP-D2-N4	VP-D1-N3	Some companies are cutting costs and hoping for the best	Some companies are cutting costs and hoping for	the best	8	NP-D5-N2	VP-D3-N2
The market seems increasingly disconnected from the rest of the nation	The market seems	increasingly disconnected from the rest of the nation	ADJP-D2-N3	VP-D1-N1	This is not nearly good enough	This is not	nearly good enough	3	ADJP-D2-N3	VP-D1-N1
One ad features a huge robot carrying a voluptuous woman in a faint	One ad features a huge robot carrying a voluptuous woman	in a faint	PP-D5-N1	NP-D4-N4	The White House warned that this would be an unconstitutional usurpation of its power	The White House warned that this would be an unconstitutional usurpation	of its power	11	PP-D7-N1	NP-D6-N1
It was a jarring day for investors in Genetics Institute	It was for investors in Genetics Institute	a jarring day	NP-D2-N2	VP-D1-N1	Yet her intensity stops and starts with the music	Yet her intensity stops and starts with	the music	7	NP-D3-N1	VP-D1-N2
And they are a very odd team in any case	And they are a team in any case	very odd	ADJP-D3-N1	NP-D2-N2	This untried concept would expose these firms to potentially astronomical punitive damages	This untried concept would expose these firms to punitive damages	potentially astronomical	8	ADJP-D5-N0	NP-D4-N3
We do not depend on pharmaceutical companies for our support	We do not depend on for our support	pharmaceutical companies	NP-D4-N1	PP-D3-N1	Some business analysts blame the problem on tough competition in the insurance market	Some business analysts blame the problem on	tough competition in the insurance market	7	NP-D3-N3	PP-D2-N5
It arrived just as the regulator handling such operations was retiring	It arrived just as the regulator handling was retiring	such operations	NP-D6-N3	VP-D5-N1	This is partly due to the particular demands of the crop	This is partly due to	the particular demands of the crop	5	NP-D4-N1	VP-D1-N1
But such a combination also presents great risks	But such a combination also presents	great risks	NP-D2-N5	VP-D1-N3	The August drop was the fourth decline in five months	The August drop was	the fourth decline in five months	4	NP-D2-N4	VP-D1-N1
But even a little appeal has a lot of attraction these days	But even a little appeal has a lot of attraction	these days	NP-D2-N6	VP-D1-N2	West German bond prices ended lower after a day of aimless trading	West German bond prices ended lower after	a day of aimless trading	7	NP-D3-N4	VP-D1-N1
Both revenue figures exclude excise taxes	Both revenue figures exclude	excise taxes	NP-D2-N4	VP-D1-N1	The historical profession will survive these decisions	The historical profession will survive	these decisions	5	NP-D3-N1	VP-D2-N4
Demand will come first from programming production companies and then from television stations	Demand will come first from programming production companies and then	from television stations	PP-D4-N4	VP-D3-N2	That went over the permissible line for warm and fuzzy feelings	That went	over the permissible line for warm and fuzzy feelings	2	PP-D2-N2	VP-D1-N1
Nor does it cover the entire portfolio	Nor does it cover	the entire portfolio	NP-D2-N2	VP-D1-N3	The move reflected the growing confidence of the revamped Supreme Soviet	The move reflected	the growing confidence of the revamped Supreme Soviet	3	NP-D2-N3	VP-D1-N1
But such skills were alien to Toni Johnson	But such skills were alien	to Toni Johnson	PP-D3-N1	ADJP-D2-N3	Our international efforts were far greater than ever before	Our international efforts were far greater	than ever before	6	PP-D3-N2	ADJP-D2-N4
Many Indians fear a repeat of that experience	Many Indians fear	a repeat of that experience	NP-D2-N3	VP-D1-N1	Glenn Hall contributed to this article	Glenn Hall contributed to	this article	4	NP-D3-N1	VP-D1-N1
Officials at Mellon Capital were unavailable for comment	Officials at Mellon Capital were unavailable	for comment	PP-D3-N4	ADJP-D2-N3	This is partly due to the particular demands of the crop	This is partly due	to the particular demands of the crop	4	PP-D3-N2	ADJP-D2-N2
The East German economy is strong compared with other East bloc nations	The East German economy is strong	compared with other East bloc nations	PP-D2-N6	VP-D1-N1	He takes over a school system in the midst of radical reform	He takes over a school system	in the midst of radical reform	6	PP-D3-N2	VP-D1-N1
Details of credit enhancements vary widely from issue to issue	Details of credit enhancements vary widely	from issue to issue	PP-D2-N4	VP-D1-N1	That structural lack is crucial because investors are the only source of market liquidity	That structural lack is crucial because investors are the only source	of market liquidity	11	PP-D6-N1	VP-D4-N1
This is football country	This is	football country	NP-D2-N2	VP-D1-N1	Federal Paper Board sells paper and wood products	Federal Paper Board sells	paper and wood products	4	NP-D2-N4	VP-D1-N1
Many Indians fear a repeat of that experience	Many Indians fear a repeat	of that experience	PP-D3-N1	NP-D2-N3	Opponents of the cut are playing hardball	Opponents are playing hardball	of the cut	1	PP-D2-N1	NP-D1-N0
Judges will write the real bill as suits roll through the courts	Judges will write as suits roll through the courts	the real bill	NP-D3-N1	VP-D2-N2	Peter Gumbel in Moscow contributed to this article	Peter Gumbel in Moscow contributed to	this article	6	NP-D3-N5	VP-D1-N1
But such spots can be too soft	But such spots can be	too soft	ADJP-D3-N1	VP-D2-N3	Some funds are posting yields far higher than the average	Some funds are posting yields	far higher than the average	5	ADJP-D4-N1	VP-D2-N3
It arrived just as the regulator handling such operations was retiring	It arrived just as the regulator was retiring	handling such operations	VP-D5-N1	NP-D4-N1	Merrill has been one of the main firms executing index arbitrage for customers	Merrill has been one of the main firms	executing index arbitrage for customers	8	VP-D6-N1	NP-D5-N2
Now there are many cars for every purse and purpose	Now there are many cars for	every purse and purpose	NP-D4-N3	PP-D3-N1	Accepted theories of asset pricing offer a perfectly legitimate explanation	Accepted theories of offer a perfectly legitimate explanation	asset pricing	3	NP-D3-N3	PP-D2-N1
Everyone around me lives well	Everyone lives well	around me	PP-D2-N1	NP-D1-N0	There was no cost estimate for the second phase	There was no cost estimate	for the second phase	5	PP-D3-N1	NP-D2-N2
Fund selling also picked up at that point	Fund selling also picked up at	that point	NP-D3-N2	PP-D2-N5	Other magazine publishing companies have been moving in the same direction	Other magazine publishing companies have been moving in	the same direction	8	NP-D5-N1	PP-D4-N1
But there are no scientific data on this question	But there are	no scientific data on this question	NP-D2-N2	VP-D1-N2	Some have raised their cash positions to record levels	Some have raised to record levels	their cash positions	3	NP-D3-N1	VP-D2-N2
The dollar also moved higher in Tokyo	The dollar also moved higher	in Tokyo	PP-D2-N5	VP-D1-N1	The company can go about its business	The company can go	about its business	4	PP-D3-N1	VP-D2-N3
Stock prices finished about unchanged Friday in quiet expiration trading	Stock prices finished about unchanged Friday	in quiet expiration trading	PP-D2-N5	VP-D1-N1	One man wrapped several diamonds in the knot of his tie	One man wrapped several diamonds	in the knot of his tie	5	PP-D2-N4	VP-D1-N1
Small business is bracing for an avalanche of similar proposals next year	Small business is bracing for an avalanche of next year	similar proposals	NP-D6-N3	PP-D5-N1	He ticks off several major differences between now and two years ago	He ticks off several major differences between now and ago	two years	9	NP-D6-N1	PP-D3-N2
Soon she was running the office	Soon she was running	the office	NP-D3-N1	VP-D2-N3	Merchant banks were stronger across the board	Merchant banks were stronger across	the board	5	NP-D3-N2	VP-D1-N1
We put some orders together	We put together	some orders	NP-D2-N2	VP-D1-N1	The network must refund money to the advertisers and loses considerable revenue and prestige	The network must refund money to and loses considerable revenue and prestige	the advertisers	6	NP-D5-N2	VP-D3-N1
Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell more than	the overall measures	NP-D4-N4	PP-D3-N4	The American Stock Exchange listed shares of two companies	The American Stock Exchange listed shares of	two companies	7	NP-D4-N2	PP-D3-N1
Guarantee by Credit Suisse	Guarantee	by Credit Suisse	PP-D1-N1	NP-D0-N0	The screen was a sea of red	The screen was a sea	of red	5	PP-D3-N1	NP-D2-N3
The charge on loans to brokers on stock exchange collateral	The charge on on stock exchange collateral	loans to brokers	NP-D2-N3	PP-D1-N1	Two big stocks involved in takeover activity saw their short interest surge	Two big stocks involved in saw their short interest surge	takeover activity	5	NP-D4-N1	PP-D3-N4
Liquidity is not a service	Liquidity is not	a service	NP-D2-N3	VP-D1-N1	Neither disclosed details pending board meetings next month	Neither disclosed details pending	board meetings next month	4	NP-D3-N2	VP-D1-N1
Laurie McGinley contributed to this article	Laurie McGinley contributed to	this article	NP-D3-N1	PP-D2-N3	Two workers died and six remain in the hospital	Two workers died and six remain in	the hospital	7	NP-D4-N1	PP-D3-N5
Now the Alley has moved ahead on both artistic and financial fronts	Now the Alley has moved ahead on	both artistic and financial fronts	NP-D4-N2	PP-D3-N2	Only a few books fell in the reading room	Only a few books fell in	the reading room	6	NP-D3-N4	PP-D2-N3
Japanese government bonds showed little change	Japanese government bonds showed	little change	NP-D2-N4	VP-D1-N1	Right away you notice the following things about a Philip Glass concert	Right away you notice	the following things about a Philip Glass concert	4	NP-D2-N4	VP-D1-N2
This is New York City	This is	New York City	NP-D2-N2	VP-D1-N1	Such armor crushes the soldier	Such armor crushes	the soldier	3	NP-D2-N3	VP-D1-N1
They speak volumes about the state of our society at a given moment	They speak volumes	about the state of our society at a given moment	PP-D2-N3	VP-D1-N1	Employees wore identification badges listing not only their names but also their dates of hire	Employees wore identification badges listing not only their names but also their dates	of hire	13	PP-D6-N7	VP-D3-N1
But New York City general obligation bonds came under selling pressure	But New York City general obligation bonds came	under selling pressure	PP-D2-N7	VP-D1-N2	The company paid five cents a share in April	The company paid five cents a share	in April	7	PP-D2-N4	VP-D1-N1
Senator Byrd is chairman of the Appropriations Committee	Senator Byrd is chairman of	the Appropriations Committee	NP-D4-N2	PP-D3-N1	Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Its previous proposal had conditioned rate limits on	Seabrook operations and other contingencies	8	NP-D5-N3	PP-D4-N1
London shares closed moderately lower in thin trading	London shares closed in thin trading	moderately lower	ADVP-D2-N3	VP-D1-N1	Our international efforts were far greater than ever before	Our international efforts were far greater than	ever before	7	ADVP-D4-N1	VP-D1-N1
