demon	d_deleted	test	t_deleted	start
Congress previously cut six airports this year	six airports	Telerate provides information about financial markets through an electronic network	information about financial markets	2
The recent sharp stock market decline exacerbated those concerns	those concerns	The Navy is ordering displays for its Aegis cruisers and the Army wants smaller versions for its Abrams battle tanks	smaller versions for its Abrams battle tanks	13
Geraldo or Phil would probably pull up another camera and interview the chained protesters	another camera	James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	9
The company also makes optical character recognition equipment	optical character recognition equipment	The pocketbook impact of health benefits has driven business and labor to a surprising consensus	business and labor	8
The British conglomerate cited the recent turmoil in financial markets	the recent turmoil in financial markets	Continental Airlines is a unit of Texas Air Corp	a unit of Texas Air Corp	3
One concerns Japanese investors	Japanese investors	There are few factories and no mines	few factories and no mines	2
El Paso owns and operates a petroleum refinery	a petroleum refinery	Los Angeles will be the site of a new entertainment division for the ad agency	the site of a new entertainment division for the ad agency	4
The loyal servant has come full circle	full circle	But the utility may not continue next year	next year	6
They do indeed want their own nation	their own nation	And she has this inexhaustible energy	this inexhaustible energy	3
Other mutual fund companies reported even lighter withdrawal requests	even lighter withdrawal requests	Accepted theories state that investors require higher returns on riskier investments	higher returns	6
And the world could experience its first psyllium shortage	its first psyllium shortage	The estimate includes the results of new stores	the results of new stores	3
We had great success in Somalia	great success	It is a quick fix for a complex problem	a quick fix for a complex problem	2
It is a peaceful time in this part of western India	a peaceful time	The put establishes a minimum selling price for the stock during its life	a minimum selling price for the stock during its life	3
But the deal fell apart last week for lack of financing	last week	The indirectness of his later work reflects both an appetite for new genres and the hazards of art in the Arab world	both an appetite for new genres and the hazards of art in the Arab world	7
The company also makes optical character recognition equipment	optical character recognition equipment	The estimate includes the results of new stores	the results of new stores	3
Most expect the decline in New York stock prices to continue this week	this week	The extrusion unit produces bare and painted custom extrusions for building products and construction industries	bare and painted custom extrusions	4
The company also makes optical character recognition equipment	optical character recognition equipment	He was only the sixth federal judge ever ousted from office after an impeachment trial	only the sixth federal judge	2
Blue chips led the march up in heavy trading	the march up	This untried concept would expose these firms to potentially astronomical punitive damages	these firms	5
But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	Men were a constant complication	a constant complication	2
That caused a brief period of panic selling of stocks on the Big Board	a brief period of panic selling of stocks	Some institutional traders loved the wild ride	the wild ride	4
James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	Analysts had mixed responses to the results	mixed responses to the results	2
The new rules will allow investors to buy foreign stocks directly	foreign stocks	Other money managers also opened their wallets	their wallets	5
Accepted theories of asset pricing offer a perfectly legitimate explanation	a perfectly legitimate explanation	Tenneco Credit is a unit of Tenneco Inc	a unit of Tenneco Inc	3
One big problem has been the thoroughbred racehorse market	the thoroughbred racehorse market	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	the largest population of citizens of Polish heritage in any city outside Poland	2
The recent sharp stock market decline exacerbated those concerns	those concerns	Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	5
The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	some poorly managed properties	They currently have large orders for cargo planes	large orders for cargo planes	3
Nausea seems a commonplace symptom	a commonplace symptom	Yet these figures show only the most visible part of the problem	only the most visible part of the problem	4
It recently introduced a line for the home market	a line for the home market	The project has already acquired a certain New York cachet	a certain New York cachet	5
The Dutch utility firm serves the Amsterdam and Utrecht areas	the Amsterdam and Utrecht areas	Poachers would control the underground trade	the underground trade	3
United Illuminating also amended its rate plan	its rate plan	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	some poorly managed properties	6
Bond prices posted strong gains as investors went on a bargain hunt	strong gains	Union officials have taken a beating politically as a result	a beating	4
The Communications Workers of America ratified a new regional contract and all but one of the local agreements with Bell Atlantic Corp	a new regional contract and all but one of the local agreements with Bell Atlantic Corp	Kia is reportedly also considering such a plan	such a plan	5
Giant has interests in cement making and newsprint	interests in cement making and newsprint	There was no cost estimate for the second phase	no cost estimate for the second phase	2
The result is a new and huge appetite for programming	a new and huge appetite for programming	That could shove a weak economy into recession	a weak economy	3
Fannie Mae makes a secondary market in home loans	a secondary market in home loans	Most recently he had been executive vice president for planning and finance at Texas Air	executive vice president for planning and finance at Texas Air	5
Connaught is a biotechnology research and vaccine manufacturing concern	a biotechnology research and vaccine manufacturing concern	But the lovebirds have a conflict	a conflict	4
The issue here may be the soundness of the guarantee	the soundness of the guarantee	New Canaan Investments is a closely held investment partnership with interests primarily in the packaging industry	a closely held investment partnership with interests primarily in the packaging industry	4
Pacific First owns Pacific First Federal Savings Banks and other financial services firms	Pacific First Federal Savings Banks and other financial services firms	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	the impact of budget uncertainties	3
Their discomfort is a healthy sign for the rest of us	a healthy sign for the rest of us	Digital is promising a new approach	a new approach	3
El Paso owns and operates a petroleum refinery	a petroleum refinery	Parts are a tragedy	a tragedy	2
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	the stability of the stock market	The company is facing a takeover proposal from the financier Sir James Goldsmith	a takeover proposal from the financier Sir James Goldsmith	4
The company just went public earlier this month	earlier this month	It recently introduced a line for the home market	a line for the home market	3
The appointments are part of a planned succession at the company	part of a planned succession at the company	Most recently he had been executive vice president for planning and finance at Texas Air	executive vice president for planning and finance at Texas Air	5
We now know that the words were not always his own	his own	The original owners happily repaid the claim and took their kylix home	the claim	5
Several fund managers expect a rough market this morning before prices stabilize	a rough market this morning	Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	market share	8
Old Environmentalism involved microbe hunters and sanitationists	microbe hunters and sanitationists	Confectionery products sales also had strong growth in the quarter	strong growth	5
They are more sophisticated this time	this time	The issue has also cost Federal management a lot of good will among its old pilots	Federal management	5
They do indeed want their own nation	their own nation	He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	3
Other companies are introducing related products	related products	The Fed has assumed a similar responsibility in the market for government securities	a similar responsibility in the market for government securities	4
They are more sophisticated this time	this time	Professionals dominated municipal trading throughout the session	municipal trading	2
He previously held similar responsibilities	similar responsibilities	But Superfund also contains a criminal provision concerning the release of toxic substances into the environment	a criminal provision concerning the release of toxic substances into the environment	4
The market drop has now apparently convinced foreign investors that the Treasury was right about the overpriced dollar	foreign investors	But the chain is quickly realizing the pitfalls of such endorsements	the pitfalls of such endorsements	6
The Marina rescue center offered a very San Franciscan response to the disaster	a very San Franciscan response to the disaster	Lawmakers in both houses support the higher level	the higher level	5
It made my shoelaces dance with terror	my shoelaces	The association said that lack of airport and air space capacity is the biggest problem facing the airline industry	the biggest problem facing the airline industry	12
The historical profession will survive these decisions	these decisions	Big withdrawals from the junk funds have continued this month	this month	8
It is a quick fix for a complex problem	a quick fix for a complex problem	Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	5
Our teachers are not an important factor in our educational crisis	an important factor in our educational crisis	But slow sales forced Ford to kill the brand just last week	the brand	7
Sun posted a gain	a gain	The quake postponed the third and fourth games of the World Series	the third and fourth games of the World Series	3
Manufacturers Hanover had a loss due to a big reserve addition	a loss due to a big reserve addition	Nausea seems a commonplace symptom	a commonplace symptom	2
He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	The Fed has assumed a similar responsibility in the market for government securities	a similar responsibility in the market for government securities	4
Opponents show that there are already more funds available than commendable reform efforts	more funds available than commendable reform efforts	Other money managers also opened their wallets	their wallets	5
Continental Air replaced its top executive for the sixth time in as many years	its top executive	But Mexico urgently needs more help	more help	4
Bond prices posted strong gains as investors went on a bargain hunt	strong gains	The appointments are part of a planned succession at the company	part of a planned succession at the company	3
One big problem has been the thoroughbred racehorse market	the thoroughbred racehorse market	Wilfred closed its Massachusetts schools earlier this year	its Massachusetts schools	2
He expected as much	as much	He divorced his first wife three years ago and married the daughter of his court clerk	his first wife	2
That could shove a weak economy into recession	a weak economy	The key here is the ambition of state Attorney General John Van de Kamp	the ambition of state Attorney General John Van de Kamp	4
There was no appreciable market impact from the California earthquake	no appreciable market impact from the California earthquake	Bond prices posted strong gains as investors went on a bargain hunt	strong gains	3
But observers expect broad support	broad support	One ad features a huge robot carrying a voluptuous woman in a faint	a huge robot carrying a voluptuous woman in a faint	3
The electronics industry is closely following the Dellums bill	the Dellums bill	But there are grounds for complaint	grounds for complaint	3
The issue here may be the soundness of the guarantee	the soundness of the guarantee	Congress previously cut six airports this year	six airports	3
The leader in real estate brand names is developer Ara Hovnanian	developer Ara Hovnanian	The loss of more customers is the latest in a string of problems	the latest in a string of problems	6
But the steam may never reach the engine room	the engine room	The rise of superintendents such as Joseph Fernandez and Ted Kimbrough suggests plainly the process of disintegration in many school systems	the process of disintegration in many school systems	13
Congress previously cut six airports this year	six airports	The charges said that one worker suffered permanent brain damage from mercury exposure	permanent brain damage	7
One could imagine such a lull in the lives of the Arabs before the quadrupling of oil prices	such a lull in the lives of the Arabs	His humility gives him a much better chance of success	a much better chance of success	4
He cut her hair	her hair	The extrusion unit produces bare and painted custom extrusions for building products and construction industries	bare and painted custom extrusions	4
He also mentioned increased capital investment by Pacific Bell for network improvements	increased capital investment by Pacific Bell for network improvements	Parts are a tragedy	a tragedy	2
Shareholders must approve the merger at general meetings of the two companies in late November	the merger	Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	7
Transportation officials are expecting utter traffic pandemonium beginning Monday and growing worse over the next several weeks	utter traffic pandemonium beginning Monday and growing worse over the next several weeks	The ambitious Warsaw project still awaits approval by city officials	approval by city officials	6
Several other banks have similar applications pending	similar applications pending	The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	15
Americans place native or native speakers in charge of subsidiaries overseas	native or native speakers	Eventually viewers may grow bored with the technology and resent the cost	the cost	10
During the Reagan years he expanded his business and intelligence contacts with the Cubans and the Sandinistas	his business and intelligence contacts with the Cubans and the Sandinistas	The states have their own ideas about regulation and certification	their own ideas about regulation and certification	3
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	Two segments posted lower earnings for the quarter	lower earnings for the quarter	3
The issue has also cost Federal management a lot of good will among its old pilots	Federal management	The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	7
The state of New Hampshire has favored that plan	that plan	The robberies also have set off a controversy involving the airlines	a controversy involving the airlines	6
One apparent side effect is a minor increase in a brain hormone	a minor increase in a brain hormone	The Panamanian affair is only the tip of a more alarming iceberg	only the tip of a more alarming iceberg	4
But there is no solid evidence that the Khmer Rouge have changed	no solid evidence that the Khmer Rouge have changed	Congressmen raised the issue yesterday at a hearing	the issue	2
Yet some funds have pulled in their horns	their horns	This is an index fund with a bet	an index fund with a bet	2
The Panamanian affair is only the tip of a more alarming iceberg	only the tip of a more alarming iceberg	Drug companies lost a major liability case	a major liability case	3
They long made little effort here	little effort	He withdrew the remark	the remark	2
Other mutual fund companies reported even lighter withdrawal requests	even lighter withdrawal requests	Many fund managers have boosted their cash levels in recent weeks	their cash levels	5
The leader in real estate brand names is developer Ara Hovnanian	developer Ara Hovnanian	Investors welcomed the move	the move	2
But there never was a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily	a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily	Utilities management is a major commercial niche	a major commercial niche	3
Estimated volume was three million ounces	three million ounces	Estimated volume was five million ounces	five million ounces	3
This is an enviably low level	an enviably low level	Men were a constant complication	a constant complication	2
Retailers could get a boost this year from the calendar	a boost	The defense electronics concern attributed the operating improvement to higher profit margins and lower net interest expense	the operating improvement	5
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	the stability of the stock market	Preparedness involves more than flashlights and fire alarms these days	more than flashlights and fire alarms	2
He wound up and let loose a fastball	a fastball	Paintings are just part of the picture	just part of the picture	2
Business leaders have long criticized the agency as a leading example of bureacratic waste	the agency	One big obstacle is that few drugstores develop the film anymore	the film	8
Marketing and sales departments then urged abandonment of the pico project	abandonment of the pico project	Federal Paper Board sells paper and wood products	paper and wood products	4
Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	Brooks Brothers is also remodeling its stores	its stores	5
The move will cut out the cost of a middleman and give Specialized more control over marketing and sales	the cost of a middleman	Two segments posted lower earnings for the quarter	lower earnings for the quarter	3
Both companies are regional carriers in the Southwest	regional carriers in the Southwest	That caused a brief period of panic selling of stocks on the Big Board	a brief period of panic selling of stocks	2
He also mentioned increased capital investment by Pacific Bell for network improvements	increased capital investment by Pacific Bell for network improvements	But the move lagged a stronger rise in New York Stock Exchange issues	a stronger rise in New York Stock Exchange issues	4
He expected as much	as much	James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	9
They used their judgment	their judgment	Some machines make charts for presentations	charts for presentations	3
Columbia announced the results after the close of the stock market	the results	The August drop was the fourth decline in five months	the fourth decline in five months	4
The only plug for the sponsor is a brief mention at the end of the spot	a brief mention at the end of the spot	These are real costs	real costs	2
The czars were no civil libertarians	no civil libertarians	But Wall Street analysts expect further signs of economic weakness in government reports during the next few weeks	further signs of economic weakness in government reports	5
The airline also named Mickey Foret as president	Mickey Foret	But there is a grimly ironic twist to the Columbia loss	a grimly ironic twist to the Columbia loss	3
This is football country	football country	Illinois Company Investments had been trimming its ranks until last summer	its ranks	6
Managers of junk funds were bolstering their cash hoards after the September cash crunch at Campeau Corp	their cash hoards	But the shaky economic outlook and the volatile stock market forced the dollar lower against major currencies	the dollar	11
The reason was not high interest rates or labor costs	high interest rates or labor costs	Options markets stopped trading in many securities	trading in many securities	3
The deal requires regulatory and shareholder approval	regulatory and shareholder approval	Your story is an insult to the citizens of the Mississippi Delta	an insult to the citizens of the Mississippi Delta	3
Now a rocky stock market and weak corporate profits may further threaten the economy	the economy	Other network applications have very different goals	very different goals	4
He is negotiating a rich book contract to boot	a rich book contract	Both are mining concerns	mining concerns	2
The charges said that one worker suffered permanent brain damage from mercury exposure	permanent brain damage	New Canaan Investments is a closely held investment partnership with interests primarily in the packaging industry	a closely held investment partnership with interests primarily in the packaging industry	4
And the egg producers have done a pretty good job	a pretty good job	James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	9
Chrysler will idle a Toledo assembly plant temporarily due to slowing sales of its profitable Jeep Cherokee and Wagoneer sport utility vehicles	a Toledo assembly plant	The business includes Beefeater gin	Beefeater gin	3
The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	The pilots argued that this triggered a pay raise for them	a pay raise for them	6
Baker had lots of them	lots of them	It was an audacious claim	an audacious claim	2
But slow sales forced Ford to kill the brand just last week	the brand	But the two groups represent a further step in defensiveness	a further step in defensiveness	5
Wang had previously forecast a loss	a loss	The local American Legion color guard led the way	the way	7
The business includes Beefeater gin	Beefeater gin	Many of his peers feel the same way	the same way	5
Accepted theories state that investors require higher returns on riskier investments	higher returns	The town is home to the Mountain Bike Hall of Fame and it hosts the annual Fat Tire Bike Week	home to the Mountain Bike Hall of Fame	3
An additional benefit is the creation of jobs	the creation of jobs	Recent data from New York City provide more of the picture	more of the picture	7
He noted that for the first time in months there was some light investor interest in the metals	some light investor interest	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	the largest population of citizens of Polish heritage in any city outside Poland	2
Rolled copper product sales were major contributors to overall sales growth	major contributors to overall sales growth	But the Rockefeller investment is its largest	its largest	5
But there is no solid evidence that the Khmer Rouge have changed	no solid evidence that the Khmer Rouge have changed	Eventually little French farmers and their little French farmwives came out of their stone houses and put their hands above their tiny eyes and squinted at us	their hands	17
Big financial stocks carried the day	the day	Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	5
It is a quick fix for a complex problem	a quick fix for a complex problem	There are more than three times as many franchised domestic outlets as there are company stores	more than three times as many franchised domestic outlets as there are company stores	2
The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	She had an idea	an idea	2
Chicago has the largest population of citizens of Polish heritage in any city outside Poland	the largest population of citizens of Polish heritage in any city outside Poland	The Arabs had merely oil	merely oil	3
Liquidity is not a service	a service	Continental Airlines is a unit of Texas Air Corp	a unit of Texas Air Corp	3
The screen was a sea of red	a sea of red	The politician appearing is highly controversial and has recently generated a good deal of rancor amid certain groups	a good deal of rancor amid certain groups	10
Those include Rhin et Moselle Vie and Via Assurances	Rhin et Moselle Vie and Via Assurances	The loss of the cigarette account would be a severe blow to Wells Rich	a severe blow to Wells Rich	8
He confers big trading commissions on Wall Street firms	big trading commissions	Both have become confidants of President Bush	confidants of President Bush	3
Other money managers also opened their wallets	their wallets	But the two groups represent a further step in defensiveness	a further step in defensiveness	5
Steppenwolf needs the extra seats even more than the fly space	the extra seats	The Navy is ordering displays for its Aegis cruisers and the Army wants smaller versions for its Abrams battle tanks	smaller versions for its Abrams battle tanks	13
The antibody then kills the cell	the cell	The state of New Hampshire has favored that plan	that plan	7
It may experience an upswing or two in between	an upswing or two	The result is mistrust and criticism from all around	mistrust and criticism from all around	3
Two election commission members opposed the matching plans	the matching plans	That caused a brief period of panic selling of stocks on the Big Board	a brief period of panic selling of stocks	2
Continental Air replaced its top executive for the sixth time in as many years	its top executive	Chrysler will idle a Toledo assembly plant temporarily due to slowing sales of its profitable Jeep Cherokee and Wagoneer sport utility vehicles	a Toledo assembly plant	3
Randy Delchamps retains his position as president	his position as president	Recent data from New York City provide more of the picture	more of the picture	7
Enfield is a holding company with interests in manufacturing concerns	a holding company with interests in manufacturing concerns	Innocent bystanders often are the victims	the victims	4
Concord is a camera and photographic products company	a camera and photographic products company	The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	15
There are more than three times as many franchised domestic outlets as there are company stores	more than three times as many franchised domestic outlets as there are company stores	Scientists also are exploring memory and perception with the new machines	memory and perception	4
Analysts had mixed responses to the results	mixed responses to the results	There will be recreation and movie rooms	recreation and movie rooms	3
It advised the National Football League in its largely successful defense of antitrust charges by the United States Football League	the National Football League	Futures prices showed modest changes in light trading volume	modest changes	3
One man wrapped several diamonds in the knot of his tie	several diamonds	The entire opera is her dream	her dream	4
The extrusion unit produces bare and painted custom extrusions for building products and construction industries	bare and painted custom extrusions	The Allianz statement also reinforced the belief that the takeover battle could be a long one	the belief that the takeover battle could be a long one	5
They currently have large orders for cargo planes	large orders for cargo planes	Congress previously cut six airports this year	six airports	3
Telerate provides information about financial markets through an electronic network	information about financial markets	The spinoff should solve a problem for the parent	a problem	4
The laws take effect next month	next month	But the lovebirds have a conflict	a conflict	4
Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	And they are a very odd team in any case	a very odd team	3
Yet these figures show only the most visible part of the problem	only the most visible part of the problem	The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	15
He also leads an opulent life style	an opulent life style	There is a lot of waste	a lot of waste	2
Risk is also a function of time	a function of time	Japanese companies have a caveat competitor attitude	a caveat competitor attitude	3
They do indeed want their own nation	their own nation	The state of New Hampshire has favored that plan	that plan	7
He confers big trading commissions on Wall Street firms	big trading commissions	He withdrew the remark	the remark	2
Japanese companies have a caveat competitor attitude	a caveat competitor attitude	The company could command a good price in the market	a good price	4
He is a lawyer with a string of academic degrees	a lawyer with a string of academic degrees	The deal requires regulatory and shareholder approval	regulatory and shareholder approval	3
And the egg producers have done a pretty good job	a pretty good job	Prosecutors in Miami received yet another setback	yet another setback	4
But gripes run the gamut	the gamut	Lead underwriter to the issue is Toronto Dominion Securities Inc	Toronto Dominion Securities Inc	6
But other rake makers have their doubts	their doubts	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	some poorly managed properties	6
Several other banks have similar applications pending	similar applications pending	The airline also named Mickey Foret as president	Mickey Foret	4
The original owners happily repaid the claim and took their kylix home	the claim	The politician appearing is highly controversial and has recently generated a good deal of rancor amid certain groups	a good deal of rancor amid certain groups	10
Morgenzon has long been a special domain of Afrikanerdom	a special domain of Afrikanerdom	This is an index fund with a bet	an index fund with a bet	2
Shareholders will also receive one cent per share for the redemption of preferred stock purchase rights	one cent per share	First Interstate made the move under pressure from regulators	the move	3
The report of the bankruptcy filing stunned Hollywood executives and investors	Hollywood executives and investors	Federal Paper Board sells paper and wood products	paper and wood products	4
Even claims against individuals and companies face significant roadblocks	significant roadblocks	This could mean diminished issuance of derivative mortgage issues during the next few weeks	diminished issuance of derivative mortgage issues during the next few weeks	3
Investors with a heavy tax load should take out their calculators	their calculators	During the Reagan years he expanded his business and intelligence contacts with the Cubans and the Sandinistas	his business and intelligence contacts with the Cubans and the Sandinistas	6
It recently introduced a line for the home market	a line for the home market	Chrysler will idle a Toledo assembly plant temporarily due to slowing sales of its profitable Jeep Cherokee and Wagoneer sport utility vehicles	a Toledo assembly plant	3
But they will have disappointing returns or even losses if interest rates rise instead	disappointing returns or even losses	Announced and anticipated purchases from foreign countries are also supporting futures prices	futures prices	10
The put establishes a minimum selling price for the stock during its life	a minimum selling price for the stock during its life	Copper prices fell sharply Friday afternoon	Friday afternoon	4
Investors and analysts applauded the news	the news	Meritor has headed the list since May	the list	3
Pacific First owns Pacific First Federal Savings Banks and other financial services firms	Pacific First Federal Savings Banks and other financial services firms	But some money managers are doing just that	just that	6
Other temperature data show similar unexplained swings	similar unexplained swings	He no longer crowds the plate	the plate	4
Our teachers are not an important factor in our educational crisis	an important factor in our educational crisis	Giant has interests in cement making and newsprint	interests in cement making and newsprint	2
The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	He again urged passage of a constitutional amendment outlawing abortion	passage of a constitutional amendment outlawing abortion	3
Creative accounting is a hallmark of federal credit	a hallmark of federal credit	Repeat customers also can purchase luxury items at reduced prices	luxury items	5
The prolonged price pressures are driving a wedge between some franchisers and their franchisees	a wedge	Professionals dominated municipal trading throughout the session	municipal trading	2
Chrysler will idle a Toledo assembly plant temporarily due to slowing sales of its profitable Jeep Cherokee and Wagoneer sport utility vehicles	a Toledo assembly plant	Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	market share	8
His humility gives him a much better chance of success	a much better chance of success	Scientists also are exploring memory and perception with the new machines	memory and perception	4
Simpson is an auto parts maker	an auto parts maker	British government bonds surged on renewed volatility in the stock market	renewed volatility in the stock market	5
There are few factories and no mines	few factories and no mines	Hanson is a London producer of consumer and other goods	a London producer of consumer and other goods	2
That would be a blow to both Paribas and Navigation Mixte	a blow to both Paribas and Navigation Mixte	Other major players in intimate apparel apparently feel the same way	the same way	8
He turned himself in to authorities in New York earlier this year	earlier this year	Unilever already has experienced some disappointment	some disappointment	4
Rumors of Soviet interest also pushed up the prices of soybean futures contracts	the prices of soybean futures contracts	Not that oil suddenly is a sure thing again	a sure thing	5
Market Data Retrieval is a compiler of educational information and provides related services	a compiler of educational information	Federal Paper Board sells paper and wood products	paper and wood products	4
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	surprisingly strong margins on those sales	But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	4
Housing has been weak all year and especially so in the past five months	all year	Mubarak held reconciliation talks with Gadhafi at the Egyptian resort of Mersa Metruh	reconciliation talks	2
This is an enviably low level	an enviably low level	He turned himself in to authorities in New York earlier this year	earlier this year	9
Both figures were record highs	record highs	Continentals believe that the strongest growth area will be southern Europe	southern Europe	9
The move will cut out the cost of a middleman and give Specialized more control over marketing and sales	the cost of a middleman	Judge Merhige will make the appointment	the appointment	4
Rumors of Soviet interest also pushed up the prices of soybean futures contracts	the prices of soybean futures contracts	Futures prices showed modest changes in light trading volume	modest changes	3
Both companies will replace the oil filler cap with a ventilated oil filler cap	the oil filler cap	Late buying gave the Paris Bourse a parachute after its free fall early in the day	the Paris Bourse	3
He turned himself in to authorities in New York earlier this year	earlier this year	Futures prices showed modest changes in light trading volume	modest changes	3
There were many more	many more	Geraldo or Phil would probably pull up another camera and interview the chained protesters	another camera	7
it defended appropriate constitutional safeguards and practical common sense	appropriate constitutional safeguards and practical common sense	The reconciliation talks in the Libyan desert town of Tobruk followed a meeting Monday in the Egyptian resort of Mersa Metruh	a meeting Monday in the Egyptian resort of Mersa Metruh	11
Brooks Brothers is also remodeling its stores	its stores	Both the Peasants and Rural Solidarity are forming new political parties for farmers	new political parties for farmers	8
The appointments are part of a planned succession at the company	part of a planned succession at the company	They grew up with more brand choices than any generation and have shown less allegiance so far	less allegiance	13
They promised yet more for really good stuff	yet more for really good stuff	But the utility may not continue next year	next year	6
But the new lens became the eye of a storm	the eye of a storm	The small changes in averages reflect generally unchanged yields at many major banks	generally unchanged yields at many major banks	6
And she has this inexhaustible energy	this inexhaustible energy	More carefully targeted intervention might actually reduce the need for government action	the need for government action	7
It also would have reduced mandatory overtime	mandatory overtime	The collapse of the span has provoked surprise and anger among state officials	surprise and anger among state officials	7
Other mutual fund companies reported even lighter withdrawal requests	even lighter withdrawal requests	Bargain hunters helped stock prices break a weeklong losing streak while bond prices and the dollar inched higher	a weeklong losing streak	6
Most earn high ratings from credit agencies	high ratings from credit agencies	Big financial stocks carried the day	the day	4
They are more sophisticated this time	this time	That has outraged some fans	some fans	3
Uncertainty dogs every aspect of their lives	every aspect of their lives	Details and Camden are essential Florio	essential Florio	4
The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	She expects both revenue and profit to gain this year	this year	8
The excess supply pushed gasoline prices down in that period	gasoline prices	Both are mining concerns	mining concerns	2
Canadian investment rules require that big foreign takeovers meet that standard	that standard	Higher earnings helped some issues	some issues	3
He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	Baker had lots of them	lots of them	2
October is a critical month for the privatization program	a critical month	Pension reform was its main thrust	its main thrust	3
Panda Motors is one such investment	one such investment	That structural lack is crucial because investors are the only source of market liquidity	the only source of market liquidity	8
The move will cut out the cost of a middleman and give Specialized more control over marketing and sales	the cost of a middleman	Federal Paper Board sells paper and wood products	paper and wood products	4
And the world could experience its first psyllium shortage	its first psyllium shortage	Both figures were record highs	record highs	3
The put establishes a minimum selling price for the stock during its life	a minimum selling price for the stock during its life	White children empty the wastepaper baskets and squeegee the windows	the wastepaper baskets	3
One could imagine such a lull in the lives of the Arabs before the quadrupling of oil prices	such a lull in the lives of the Arabs	Futures prices showed modest changes in light trading volume	modest changes	3
Wang had previously forecast a loss	a loss	Delayed financings also would affect the operations of many companies	the operations of many companies	5
But the lovebirds have a conflict	a conflict	Las Vegas has seen nothing quite like it before	nothing quite like it	4
Only the bravest spirits survive such roller coasters	such roller coasters	The precious metals sector outgained other Dow Jones industry groups by a wide margin for the second consecutive session	other Dow Jones industry groups	5
Randy Delchamps retains his position as president	his position as president	There was no appreciable market impact from the California earthquake	no appreciable market impact from the California earthquake	2
Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	The company reported good gains in all of its divisions	good gains in all of its divisions	3
There is a small Renoir on the wall	a small Renoir	Miss Brady is deputy director of the Russian Research Foundation in London	deputy director of the Russian Research Foundation in London	3
The team then proposed modifications in their work process to management	modifications in their work process	Brooks Brothers is also remodeling its stores	its stores	5
Panda Motors is one such investment	one such investment	But the new lens became the eye of a storm	the eye of a storm	5
Kyle manufactures electronic components	electronic components	The chimney is a pile of bricks on the front lawn	a pile of bricks on the front lawn	3
Digital is promising a new approach	a new approach	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	2
The Celtona operations would become part of those ventures	part of those ventures	Analysts had mixed responses to the results	mixed responses to the results	2
